name,canon_percentage,fanfiction_percentage
James Potter,0.002842354067558268,0.0479221111862616
Rita Skeeter,0.002812434551057655,0.0003041593795148658
Seamus Finnigan,0.002677796726804895,0.001778932160452077
Igor Karkaroff,0.0024683601113006013,0.00010205347602143523
Peeves,0.002453400353050295,9.504980609839556e-05
Winky,0.0024234808365496806,0.00010805662166975495
Crookshanks,0.0024234808365496806,0.00019610275784511083
Madam Pomfrey,0.002333722287047841,0.0002971557095918261
Rufus Scrimgeour,0.002288843012296921,6.4033553582077e-05
Mundungus Fletcher,0.0021990844627950814,7.403879632927654e-05
Lavender Brown,0.0021093259132932414,0.0014287486643000929
Griphook,0.0020943661550429345,0.0
Filius Flitwick,0.0020943661550429345,0.0002891515153940665
Buckbeak,0.002034527122041708,0.0
Angelina Johnson,0.002019567363791401,0.001735909616639119
Parvati Patil,0.001989647847290788,0.0006903617495567678
Lily Potter,0.001899889297788948,0.046701471571103256
Xenophilius Lovegood,0.0018550100230380281,0.00023612372883390897
Nearly Headless Nick,0.001840050264787721,6.803565068095682e-05
Quirinus Quirrell,0.0018250905065374144,0.0002271190103614294
Moaning Myrtle,0.0017802112317864946,0.0003982086613385414
Mr. Ollivander,0.001750291715285881,0.000150078641207993
Katie Bell,0.0017353319570355744,0.0020170569378354253
Madame Maxime,0.0016754929240343475,0.0
Charlie Weasley,0.0016455734075337342,0.0026563919493814763
Lee Jordan,0.0016306136492834275,0.00036519136027278286
Kingsley Shacklebolt,0.0015857343745325073,0.000386202370041902
Fang,0.0015707746162822009,0.0
Fenrir Greyback,0.0015258953415312807,0.0004682453605689381
Ernie Macmillan,0.001376297759028214,0.00026213735997662773
Pomona Sprout,0.0013463782425276007,0.00024712949585582847
Phineas Nigellus Black,0.0013314184842772938,0.0
Narcissa Malfoy,0.0013314184842772938,0.005537901860574943
Stan Shunpike,0.0012715794512760676,0.0
Aberforth Dumbledore,0.0011818209017742274,0.0003171661950862252
Bathilda Bagshot,0.001151901385273614,0.0
Colin Creevey,0.001151901385273614,0.0006013150891066919
Amos Diggory,0.0011369416270233072,0.0
Firenze,0.0011219818687730006,8.404403907647607e-05
Grawp,0.0011219818687730006,0.0
